,Date,Value
0,1/31/1976,885.2
1,2/29/1976,994.7
2,3/31/1976,1243.6
3,4/30/1976,1191.2
4,5/31/1976,1203.2
5,6/30/1976,1254.7
6,7/31/1976,1162.3
7,8/31/1976,1026.1
8,9/30/1976,1057.9
9,10/31/1976,1129.4
10,11/30/1976,1084.4
11,12/31/1976,1061.8
12,1/31/1977,969.9
13,2/28/1977,1092.1
14,3/31/1977,1451.1
15,4/30/1977,1354.4
16,5/31/1977,1377.1
17,6/30/1977,1459.8
18,7/31/1977,1202.0
19,8/31/1977,1234.5
20,9/30/1977,1104.6
21,10/31/1977,1341.3
22,11/30/1977,1181.6
23,12/31/1977,1090.6
24,1/31/1978,931.3
25,2/28/1978,1071.4
26,3/31/1978,1480.6
27,4/30/1978,1406.5
28,5/31/1978,1557.6
29,6/30/1978,1549.4
30,7/31/1978,1289.2
31,8/31/1978,1317.1
32,9/30/1978,1103.5
33,10/31/1978,1397.0
34,11/30/1978,1248.7
35,12/31/1978,1068.5
36,1/31/1979,1077.5
37,2/28/1979,1148.7
38,3/31/1979,1483.8
39,4/30/1979,1304.6
40,5/31/1979,1373.0
41,6/30/1979,1183.8
42,7/31/1979,1164.4
43,8/31/1979,1207.2
44,9/30/1979,1029.6
45,10/31/1979,1197.6
46,11/30/1979,1018.6
47,12/31/1979,959.7
48,1/31/1980,1042.0
49,2/29/1980,1038.7
50,3/31/1980,1141.9
51,4/30/1980,946.6
52,5/31/1980,893.8
53,6/30/1980,932.7
54,7/31/1980,1006.6
55,8/31/1980,884.2
56,9/30/1980,847.4
57,10/31/1980,1043.4
58,11/30/1980,870.5
59,12/31/1980,821.4
60,1/31/1981,814.3
61,2/28/1981,949.2
62,3/31/1981,1178.8
63,4/30/1981,962.9
64,5/31/1981,933.1
65,6/30/1981,942.7
66,7/31/1981,896.9
67,8/31/1981,1009.0
68,9/30/1981,864.8
69,10/31/1981,822.0
70,11/30/1981,743.0
71,12/31/1981,673.2
72,1/31/1982,714.4
73,2/28/1982,840.5
74,3/31/1982,1057.3
75,4/30/1982,877.2
76,5/31/1982,1020.2
77,6/30/1982,868.4
78,7/31/1982,827.4
79,8/31/1982,794.0
80,9/30/1982,891.1
81,10/31/1982,840.9
82,11/30/1982,971.5
83,12/31/1982,839.3
84,1/31/1983,789.3
85,2/28/1983,821.6
86,3/31/1983,1102.0
87,4/30/1983,1012.3
88,5/31/1983,1109.9
89,6/30/1983,1205.4
90,7/31/1983,1051.7
91,8/31/1983,993.1
92,9/30/1983,980.4
93,10/31/1983,1126.0
94,11/30/1983,1050.2
95,12/31/1983,1054.0
96,1/31/1984,1056.9
97,2/29/1984,1158.9
98,3/31/1984,1351.5
99,4/30/1984,1245.8
100,5/31/1984,1451.7
101,6/30/1984,1315.9
102,7/31/1984,1237.2
103,8/31/1984,1129.6
104,9/30/1984,1053.4
105,10/31/1984,1266.5
106,11/30/1984,1141.1
107,12/31/1984,1074.8
108,1/31/1985,1196.6
109,2/28/1985,1210.6
110,3/31/1985,1391.0
111,4/30/1985,1380.3
112,5/31/1985,1498.9
113,6/30/1985,1332.9
114,7/31/1985,1337.6
115,8/31/1985,1345.8
116,9/30/1985,1463.5
117,10/31/1985,1243.2
118,11/30/1985,1120.9
119,12/31/1985,1198.8
120,1/31/1986,1213.8
121,2/28/1986,1182.2
122,3/31/1986,1297.6
123,4/30/1986,1390.1
124,5/31/1986,1530.3
125,6/30/1986,1426.5
126,7/31/1986,1378.0
127,8/31/1986,1344.1
128,9/30/1986,1733.6
129,10/31/1986,1270.6
130,11/30/1986,1119.9
131,12/31/1986,1431.1
132,1/31/1987,918.9
133,2/28/1987,1148.4
134,3/31/1987,1381.7
135,4/30/1987,1385.3
136,5/31/1987,1298.5
137,6/30/1987,1419.6
138,7/31/1987,1355.8
139,8/31/1987,1400.6
140,9/30/1987,1300.5
141,10/31/1987,1193.2
142,11/30/1987,1110.7
143,12/31/1987,1249.2
144,1/31/1988,1122.5
145,2/29/1988,1308.8
146,3/31/1988,1505.0
147,4/30/1988,1333.5
148,5/31/1988,1455.4
149,6/30/1988,1483.1
