,TV,Radio,Social Media,Influencer,Sales
0,16.0,6.5662307879999995,2.907982773,Mega,54.73275715
1,13.0,9.237764567000001,2.409567204,Mega,46.67789698
2,41.0,15.88644602,2.913410175,Mega,150.17782880000001
3,83.0,30.02002826,6.922303959,Mega,298.2463398
4,15.0,8.437407682,1.40599815,Micro,56.5941808
5,29.0,9.614382036,1.02716349,Mega,105.8891476
6,55.0,24.89381148,4.273602146,Micro,198.6798248
7,31.0,17.35504181,2.289854925,Nano,108.73393190000002
8,76.0,24.64889821,7.130115956,Macro,270.1894
9,13.0,0.43112782299999997,2.2294230219999998,Mega,48.28058223
10,62.0,24.34518879,5.151483172,Nano,224.96101919999998
11,42.0,15.807337400000002,3.194924641,Mega,145.5439916
12,64.0,20.24042393,3.921147972,Micro,229.6323807
13,,22.35166709,3.0318153339999996,Mega,276.16535130000005
14,34.0,0.22632649100000002,2.372705624,Nano,121.3364193
15,36.0,3.90019598,0.060401795,Nano,123.52611259999999
16,60.0,22.35372075,0.940801841,Mega,212.76439680000004
17,25.0,9.905842649,1.8532248969999998,Micro,89.81992259999998
18,100.0,36.11609149,3.67429598,Macro,353.8046387
19,92.0,40.73698967,4.636563904,Nano,329.3505396
20,46.0,12.69509229,3.88458384,Macro,162.19133349999998
21,78.0,35.56822382,2.832450089,Macro,276.4013399
22,37.0,2.828972458,4.556701242,Micro,128.4846619
23,99.0,37.26381865,6.88653481,Nano,349.8615752
24,75.0,20.34898797,1.227180495,Micro,272.2501078
25,54.0,27.807614,4.060781965,Nano,192.4619083
26,,34.11167359,4.624148295,Nano,342.9133724
27,27.0,7.280088955,2.179478014,Micro,96.74937343
28,21.0,9.282685174,3.0557583810000004,Mega,76.99292807
29,40.0,13.05041081,1.971184795,Nano,139.2887894
30,67.0,24.13761593,5.573093351,Mega,234.8510253
31,90.0,29.02101661,6.431995293,Micro,323.0321827
32,12.0,3.5676607110000003,3.558311365,Nano,40.79219533
33,81.0,27.33577511,5.263650376,Micro,290.77757349999996
34,43.0,16.34871104,2.8140134580000002,Mega,150.6264947
35,47.0,17.37652562,1.9050402730000002,Mega,161.7851523
36,43.0,18.23019243,4.079293023,Nano,155.59919530000002
37,75.0,23.62623841,6.199769157,Mega,263.0206872
38,79.0,23.51057067,2.188926056,Macro,281.5789422
39,65.0,24.56354623,3.41966808,Macro,231.6700477
40,43.0,12.84212842,2.5936973180000003,Macro,148.7069665
41,82.0,27.64758545,5.611221835,Macro,294.9524151
42,68.0,21.63920124,3.223647705,Micro,242.82488109999997
43,98.0,37.57095206,8.529604366000001,Mega,351.77306789999994
44,26.0,10.59953251,0.6792753490000001,Macro,91.92229739
45,10.0,6.145248262000001,1.591116473,Macro,32.56682505
46,,34.85963715,7.7814166810000005,Mega,318.9697838
47,32.0,0.627618771,2.676075167,Micro,115.2625668
48,29.0,8.852094414,0.041494349,Macro,101.87310140000001
49,32.0,11.52414895,2.566791358,Mega,111.8997121
50,29.0,14.4341063,0.463277331,Macro,104.3526653
51,91.0,40.10852728,7.236170474,Mega,326.38171239999997
52,83.0,34.28141179,8.697487404,Nano,300.73053250000004
53,72.0,23.92269582,3.373809656,Mega,255.15516519999997
54,47.0,24.16913194,2.087910259,Micro,161.71708710000001
55,10.0,3.4558683789999995,2.400118071,Micro,39.62567824
56,49.0,10.06762616,1.729667405,Macro,169.0081129
57,14.0,5.197856187,0.413965989,Mega,50.98848158
58,20.0,10.75005058,2.442173814,Macro,70.47172273
59,17.0,10.44745162,3.3561064210000002,Nano,58.59009126
60,68.0,29.892741100000002,6.096743741,Mega,237.77216370000002
61,91.0,25.04555745,6.109369687999999,Macro,322.10049639999994
62,52.0,17.11323977,2.6386424180000003,Mega,181.07961219999999
63,41.0,3.921540021,2.527850591,Nano,145.9192
64,65.0,11.65648785,0.35847153200000004,Micro,228.5646491
65,82.0,31.60769079,3.952448108,Mega,288.9822393
66,14.0,18.64944183,4.529927084,Mega,49.81567405
67,84.0,31.26640836,8.080731556,Nano,299.09905200000003
68,99.0,30.14056912,6.5461580239999995,Mega,351.3598902
69,15.0,2.234293408,1.07771826,Mega,55.00971238
70,64.0,24.69852188,6.741382757999999,Micro,223.09914619999998
71,70.0,15.247726199999999,4.587703384,Macro,247.1394014
72,77.0,26.82235002,5.514187222,Nano,274.7071
73,81.0,20.39194685,3.2122502560000004,Macro,289.17575869999996
74,46.0,17.79013454,4.1176319889999995,Micro,168.0365387
75,,6.48229344,0.866844994,Macro,91.17721555
76,56.0,25.27608704,3.2392652139999996,Mega,198.3215216
77,98.0,33.05515873,6.0634577179999996,Mega,349.7452965
78,47.0,18.2339617,0.827545346,Mega,166.1372196
79,18.0,8.808702773,2.414186295,Nano,59.28931563
80,77.0,22.955312699999997,2.6425048159999998,Mega,272.6321364
81,22.0,6.0417257939999995,2.136632357,Mega,77.41731834
82,99.0,37.7178052,3.590086383,Nano,349.4239745
83,36.0,9.096779889,3.81883449,Mega,127.09267379999999
84,12.0,1.648197979,1.30572513,Mega,43.06509252
85,94.0,47.11629339,9.322957802000001,Micro,336.5934202
86,97.0,39.23230636,3.698661076,Nano,345.3131637
87,44.0,16.91203429,4.034660177,Macro,154.2065565
